ANIO,MARCA,UNI_VEH
2006,Chrysler,128446
2006,Ford Motor,177595
2006,General Motors,245090
2006,Honda,47471
2006,Nissan,228315
2006,Toyota,60088
2006,Volkswagen,135027
2007,Chrysler,128541
2007,Ford Motor,147747
2007,General Motors,230402
2007,Honda,52951
2007,Nissan,214121
2007,Toyota,66208
2007,Volkswagen,133240
2008,Chrysler,116137
2008,Ford Motor,125516
2008,General Motors,212378
2008,Honda,54132
2008,Nissan,212022
2008,Toyota,63306
2008,Volkswagen,119400
2009,Chrysler,82337
2009,Ford Motor,88692
2009,General Motors,138482
2009,Honda,35245
2009,Nissan,156186
2009,Toyota,51991
2009,Volkswagen,97506
2010,Chrysler,78574
2010,Ford Motor,86735
2010,General Motors,155590
2010,Honda,37990
2010,Nissan,189518
2010,Toyota,46769
2010,Volkswagen,110332
2011,Chrysler,82072
2011,Ford Motor,85988
2011,General Motors,168503
2011,Honda,34426
2011,Nissan,224509
2011,Toyota,48589
2011,Volkswagen,126831
2012,Chrysler,88023
2012,Ford Motor,82328
2012,General Motors,186383
2012,Honda,52351
2012,Nissan,244962
2012,Toyota,56278
2012,Volkswagen,133964
2013,Chrysler,78974
2013,Ford Motor,85721
2013,General Motors,201604
2013,Honda,58381
2013,Nissan,263477
2013,Toyota,60740
2013,Volkswagen,156313
2014,Chrysler,69013
2014,Ford Motor,79097
2014,General Motors,216958
2014,Honda,60128
2014,Nissan,291729
2014,Toyota,69597
2014,Volkswagen,160088
2015,Chrysler,77177
2015,Ford Motor,87523
2015,General Motors,256150
2015,Honda,73505
2015,Nissan,347124
2015,Toyota,84779
2015,Volkswagen,179113
2016,Chrysler,77928
2016,Ford Motor,99269
2016,General Motors,308624
2016,Honda,87944
2016,Nissan,401055
2016,Toyota,104955
2016,Volkswagen,206040
2017,Chrysler,72685
2017,Ford Motor,81698
2017,General Motors,258523
2017,Honda,88195
2017,Nissan,364557
2017,Toyota,105464
2017,Volkswagen,192704
2018,Chrysler,63809
2018,Ford Motor,68785
2018,General Motors,236069
2018,Honda,83821
2018,Nissan,312034
2018,Toyota,108761
2018,Volkswagen,157064
2019,Chrysler,55673
2019,Ford Motor,57563
2019,General Motors,211987
2019,Honda,72987
2019,Nissan,268156
2019,Toyota,105663
2019,Volkswagen,143649
2020,Chrysler,43678
2020,Ford Motor,37162
2020,General Motors,150256
2020,Honda,47982
2020,Nissan,194427
2020,Toyota,76577
2020,Volkswagen,99750
